text,label
"응, 오늘 일이 많네 [SEP] 괜찮아 기다릴게! [SEP] 나 한국 가지전에 부탁할게 있어 [SEP] 어떤거야?? [SEP] bet.co 이 사이트에 내 비상금이 있는데 [SEP] 여자 회원만 환전이 가능하대ㅜㅜ [SEP] 응 도와줄게 !! [SEP] 여기 사이트에 들어가서 환전받을 계좌 번호랑 비밀번호 입력해줘 [SEP] 정보 입력했어!!",1
"나 지금 준비됐어 어떤거부터 하면될까? [SEP] 네.저도 방금 빨래를 끝냈어요. 우선 내가 먼저 플랫폼의 링크를 너에게 보낼테니, 나는 고객센터에 가서 가상계좌를 신청해라. 못찾으면 들어가서 캡처해줘. [SEP] 부탁할게 [SEP] 이 거래소 앱부터 깔아주세요",1
"주로 어느 코인을 보유하시는가요. [SEP] 지난달 BTC가 3만5000달러 넘게 폭등해 23만 달러 가량을 벌어들였습니다. 저는 동전을 오래가지고 있지 않습니다. 단지 외삼촌이 제공한 정보에 근거하여 단기거래를 할 뿐입니다. [SEP] 와우, 우리 동네 아파트 한채를 벌었네요. 프로이십니다. 코인 특성상 단기 거래가 옳긴 하죠. 믿을 민햐 리딩만 있으면 금상청화죠. [SEP] 월가에서 35년간 근무한 외삼촌은 10년 넘게 암호화폐를 연구하고 있고, 외삼촌은 전문 암호화폐 분석팀을 꾸렸는데 그중에는 세계 각지에서 온 엘리트들이 있습니다. 전문적인 일은 전문적인 사람에게 맡깁니다 [SEP] 화, 좋은 정보 공유 부탁해요^^ [SEP] 맞습니다. 저희는 BTC의 변동에 따라 이익을 얻으며, 거래는 보통 30분 이내에 끝납니다.",1
"저는 미국 시카고에서 온 @@@입니다. 현재 시리아 다마스쿠스에 1년동안 살고 있습니다. [SEP] 당신은 어느 동네에서 왔습니까. [SEP] 우와. 음, 저도 그렇게 생각했어요. 제 아버지는 다마스쿠스 시리아 출신이고 어머니는 한국 출신이지만, 저는 불과 10살때 집 화재로 부모님을 잃었고, 그 사건이 일어난 순간, 저는 형제나 친척이 없고, 그래서 더 강한 군인으로 자랐습니다.",1
"나지금 쌩돈 2800만원 날리게생겨서......내가 전에채팅사이트 하나 가입해둔거 있거든....2년전쯤인데 [SEP] 웅 [SEP] 포인트남앗다고 공지가와서 근데 낼이면 소멸이래 [SEP] 옹옹 [SEP] 그쪽에 내가 충전하게한화로 4000만원 충전햇거든 확인하니깐 쓰던나머지 2800만원 남은거야 그래서 내가환급받으려구 하니까 이벤트기간에 충전한거라 남자는 안되고 여자만 가능하든거야 휴..... [SEP] 뭔 채팅사이틍인데
4000천이나 충전하거?????
그거 사이트에서 저나해서 달라해야지
이벤트라고? [SEP] 아니지금내가환급받으려고 하니까 여자만환급이 가능하대
남자는 안되고
그래서 환급받으려고 하니까 내가 이벤트할때 충전한거라 환급이 안되고 여자만 환급가능하",1
"비밀데이트.zip
영통하는 어플인데 가입하고 추가해주세요 [SEP] 서버점검중이라네요. 너무 훅들어오셔서 좀 놀랐어요 근데",1
"Thank you to be my friend ,,  i will glad if we can know about each other???",1
"천만예요 [SEP] 발송인과 어떤 거래를 하시나요? 당신의 소포에 문제가 있습니다. 세관 직원이 방금 당신의 소포를 스캔했는데, 당신의 소포에 현금이 들어 있는 것을 발견했습니다. 참고로 SECIAL 인증서에는 소포를 통해 송금된 현금이 제공되어야 합니다. 그들은 서류와 함께 온 소포에 대해 검색하려고 했지만 찾을 수 없었다. 나는 당신에게 즉시 증명서를 확보하라고 충고하고 싶다. 이 증명서 확보에 도움을 줄 수 있는 부서가 있지만 수수료는 678만3900원이다.",1
식사는 했어요? [SEP] 제가 어제 당신에게 말한 거 기억나요? 혹시나 대금이체될때~ 빗썸고객센터에서 전화드릴께요~ 본인이 이 일을 하고 있다고 전해주세요~ 그리고 바이낸스로 옮겨서 빗썸에 없는 코인을 구매하기위해서요. [SEP] 네 만약 전화가 오면 캡쳐한내용을 이야기 할겁니다. [SEP] OK [SEP] 전화가 오면 당신에게 이야기 해줄께요 [SEP] OK,1
여보세요. 잘 지냈어요? 좋은 저녁 [SEP] 나는 김이다. 민효리의 남편 나는 내 아내를 위해 너에게 정말 감사한다. 그리고 난 당신이 빌리는 모든 돈을 지불 할 것을 약속드립니다. 내 아내. 내가 한국에 도착하자마자 7월에 나는 정말로 감사한다. 나는 또한이자로 갚을 것을 약속한다. 다시 한번 나는 정마로 감사하고 하나님은 당신을 축복 하신다.,1
나는 그들이 매우 열심히 일했다고 생각한다. 나는 그들을 매우 존경한다. [SEP] 아버지는 선생님이시고 어머니는 병원에 다니셨다. 그들은 둘 다 내가 교육을 잘 받을 수 있도록 열심히 일한다. [SEP] 내 아버지는 친구의 결혼기념일을 마치고 돌아오는 길에 교통사고로 돌아가셨다.,1
"그렇진않아여ㅋㅋ
ㅋㅋㅋ화낼땐 냅니다 [SEP] 나 아까 메일보고 확인했는데 별풍선 엄청많이남아잇더라구요 내일까지 소멸된다는데 이거 @@@가질래요? [SEP] 네에에에 [SEP] z-mate.com
가입하고 톡주세요 방만들어놓을게요 [SEP] 추천코드쓰라고그러는데
이거있어야가입되나봐요ㅋㅋ [SEP] 응?잠시만요 전에는그런거 없엇는데
8ai9jf
이거주시는데 함 입력해보세요",1
다시하기 해줄래? ㅎㅅㅎ [SEP] 다시하기? [SEP] 포인트변동있는지  다시하기 해줘 [SEP] 했엉 [SEP] 오케이 됐엉 고마부 [SEP] 넹 ㅎㅎㅎ [SEP] 그보면 수익금은 25000원 될건데 출금해서 커피사마셔도 좋구 아니면 내가 만나서 맛난거 많이 살게 [SEP] 위에 돈은 문제가 아닌데 그냥 말안하면 맘걸려서 말한거야 !,1
나 큰일났다... [SEP] 쌩돈 3000만원 버리게생겼다~ [SEP] 어???? 무슨 일이야!? [SEP] 나전에 한국채팅 사이트 가입한 거 있는데 [SEP] 어 [SEP] 한화 4000마누언정도 충전했었는데 방금 확인하니깐 남은거포인트 3000만개쯤 남았는데 이거 환전하면 한국돈 3000원이야 [SEP] 헉,1
아니 예전에 제가 외국 생활할때 심심하기도 하고 외롭기도 해서 친구 추천으로 [SEP] 채팅싸이트 가입햇거든요 [SEP] 네 [SEP] 좀 많이 충전햇는데 [SEP] 알고 보니 남성회원은 환불이 안된다고 하더라고요 ㅠㅠ [SEP] 이거 얼만지 알아요?,1
영통하는 어플인데 가입하고 추가해주세요 [SEP] 서버점검중이라네요 [SEP] 너무 훅 들어오셔서 좀 놀랐어요 근데,1
저랑 만남 등록 하시면 자동으로 환불창 뜨니깐 환불 받고 만남 하시면 되는거에요. [SEP] 한마디로 포인트 충전하셔서 ㅈㅇ회원 되시고 환급받고 만남은 꽁짜에요 [SEP] 오빠 신청하시고 만남 하실래용?회사홈피 갈켜드릴가용? [SEP] 회사홈피 주소가?,1
"보내주시면 전표 또는 지불 전표를 보내주십시오. 관리자가 오후에 알맞은 시간에 외교관을 보내기로 동의하기 전에 매니저에게 요청할 것입니다. [SEP] 움직일수없어니너가사람보내
다른 사람못믿어 [SEP] 내 사랑은 나를 믿는다. 문제는 단지 10.000.000이다. 한국은 나를 믿는다.",1
나는 매일 사라에게 이메일로 메시지를 보냅니다. 나는 가족이라고 부르는 유일한 사람을 잃는 것이 매우 슬프다. 돌아가신 아내의 부모님이 저와 딸을 돌봐주지 않았어요. 그들은 내가 한국인이기 때문에 나를 좋아하지 않았다. [SEP] 그래요,1
22살 대학생이에요. 한국에 유학온지 얼마 안됐는데 친구들이랑 같이 알바로 용돈 벌고 있거든요. 근처에 있고 바로 출장 가능해요. 음주 폭력 절대 안됩니다. 저희 사진 보고 싶으시면 개인톡보내주시고요. 섹스토이 가져오셔서 같이 놀아도 돼요. 상황 봐서 하룻밤 보내도 된답니다. line : ptu654,1
이거야 내가 했던거~~ [SEP] 아이디 비번은 기억하기쉽게 영어로 된거 하면 될거 같애~ [SEP] 어차피 선물 받고 안ㅇ놀거니깐 [SEP] 기억하기 시ㅜㅂ게만해 [SEP] 그냥 회원가입만 하면 되는 거지?,1
사기당하신 거 해결되셨나요? [SEP] 아니요. 경찰에 신고해뒀어요 [SEP] 저 저번에 어떤분 도와드려서 받은 기억이 있어요 [SEP] 님이 해결해주셔서 그분이 돈을 돌려받았다고요? [SEP] 네 수수료 받고 해결해드렸어요 [SEP] 피해금 3000까진 받을 수 있으니 생각해보세요,1
강제출금 신청해드리면 2800만원 정도 뜰건데 나머지 차액 맞추셔야 되세요 [SEP] 나머지 차액이라는 건 그래서 제가해야되는게 어떤 절차일까요 [SEP] 2600만언 신청하셔서 180만원 차액 나오세요 [SEP] 그거는 입급해주셔야해요,1
아니 예전에 제가 채팅싸이트를 가입했는데 [SEP] 네 [SEP] 좀 많이 충전했는데 [SEP] 알고보니 남성회원은 환불이 안된다고 하더라고요ㅠㅠ,1
오빠 나 잠시 진지한 거 말해도 되요? [SEP] 응응 [SEP] 진짜로 백번천번 고민하고 말하는건데 결국은 너도니할까봐서 말안했지만 오해안할꺼라 생각하고 말해요... 오빠 나 진짜 돈필요해요 병원비 어제 못벌어서... 근데 오빠 이자 너무 비싸요...,1
드디어 한달 뒤면 한국에 간다!정말보고싶었어 [SEP] 나도 기대된당! [SEP] 이걸 어쩌지. 내 통장이 한국의 은행으로 송금이 안되나봐. 미안한데 혹시 먼저 송금해 줄 수 있을가? 한국에 가면 바로 줄게 [SEP] 우리가 같이 살 집인데 뭐 ㅎㅎ 알겠어 계좌 보내줘!,1
시간없다 [SEP] 부탁드릴게요진짜 [SEP] 두시까지 기회줄께 안보내면 뿌린다 [SEP] 저번에 니행동 마음에 안들어서 시간은 더이상 안준다 [SEP] 신고하면 너만 손해다,1
오빠 ~ 영상통화 화질이 너무 안좋다 [SEP] 이거 화질개선 플러그인데 이거 설치하면 화면 더 잘보이니까 설치해줘요 [SEP] 지금 설치했어 이제 잘보일꺼야,1
지금 소리가 너무 끊기면서 들리네요 ㅠㅠ [SEP] 어떻게 해야될까요? [SEP] 이거 받으셔서 설치해 주세요ㅜㅜ [SEP] 이거 소리 잘들리게 해주는 플러그인 파일이라 [SEP] 설치하면 고쳐질꺼 같아요,1
그냥 어플이니까 설치하고 나중에 지우면 돼요 ㅎㅎ [SEP] 네 알겠습니다,1
